preprocessed_text,length,word_count,sentence_count,unique_words_count,average_word_length,target
dont worri guess busi,21,4,1,4,5.25,0
plural noun research,20,3,1,3,6.666666666666667,0
go dinnermsg,12,2,1,2,6.0,0
ok wif co like tri new thing scare u dun like mah co u said loud,64,16,1,13,4.0,0
gent tri contact last weekend draw show prize guarante call claim code k valid hr ppm,85,16,1,16,5.3125,1
wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weight haha anythin special happen,101,18,1,18,5.611111111111111,0
enter cabin pa said happi b woulday boss felt special askd lunch lunch invit apart went,87,16,1,15,5.4375,0
winner u special select receiv holiday flight inc speak live oper claim pmin ,77,13,1,13,5.923076923076923,1
goodo ye must speak friday eggpotato ratio tortilla need,56,9,1,9,6.222222222222222,0
hmm uncl inform pay school directli pl buy food,47,9,1,9,5.222222222222222,0
privat account statement show unredeem bonu point claim call identifi code expir,80,12,1,12,6.666666666666667,1
urgent mobil award bonu caller prize final tri contact u call landlin boxwrc ppm,80,14,1,14,5.714285714285714,1
new address appl pair malarki,29,5,1,5,5.8,0
today voda number end select receiv award match pleas call quot claim code standard rate app,92,16,1,16,5.75,1
go sao mu today done ,21,5,1,5,4.2,0
 predict wat time finish buy,28,5,1,5,5.6,0
good stuff,10,2,1,2,5.0,0
know yetund sent money yet sent text bother send dont involv anyth impos anyth first place apologis,99,17,1,15,5.823529411764706,0
room,4,1,1,1,4.0,0
hey girl r u hope u r well del r bak long time c give call sum time lucyxx,74,19,1,15,3.8947368421052633,0
k k much cost,13,4,1,3,3.25,0
home,4,1,1,1,4.0,0
dear call tmorrowpl accomod,27,4,1,4,6.75,0
first answer question,21,3,1,3,7.0,0
sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sp tyron,83,17,1,17,4.882352941176471,1
want get laid tonight want real dog locat sent direct ur mob join uk largest dog network bt txting gravel nt eca pmsg p,119,24,1,22,4.958333333333333,1
haf msn yiju hotmailcom,23,4,1,4,5.75,0
call meet,9,2,1,2,4.5,0
check room befor activ,22,4,1,4,5.5,0
rcv msg chat svc free hardcor servic text go u get noth u must age verifi yr network tri,88,19,1,18,4.631578947368421,1
got c lazi type forgot lect saw pouch like v nice ,50,11,1,11,4.545454545454546,0
k text way,10,3,1,3,3.3333333333333335,0
sir wait mail,13,3,1,3,4.333333333333333,0
swt thought nver get tire littl thing lovabl person coz somtim littl thing occupi biggest part heart gud ni ,108,19,1,17,5.684210526315789,0
know pl open back,17,4,1,4,4.25,0
ye see ya dot,13,4,1,4,3.25,0
what staff name take class us,29,6,1,6,4.833333333333333,0
freemsg repli text randi sexi femal live local luv hear u netcollex ltd p per msg repli stop end,96,19,1,18,5.052631578947368,1
ummmawil call check inour life begin qatar pl pray hard,55,10,1,10,5.5,0
k delet contact,15,3,1,3,5.0,0
sindu got job birla soft ,25,5,1,5,5.0,0
wine flow never ,16,3,1,3,5.333333333333333,0
yup thk cine better co need go plaza mah,40,9,1,9,4.444444444444445,0
ok ur typic repli ,18,4,1,4,4.5,0
everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done becom one,195,36,1,34,5.416666666666667,0
aaooooright work,16,2,1,2,8.0,0
leav hous ,10,2,1,2,5.0,0
hello love get interview today happi good boy think miss,56,10,1,10,5.6,0
custom servic annonc new year deliveri wait pleas call arrang deliveri,70,11,1,10,6.363636363636363,1
winner u special select receiv cash holiday flight inc speak live oper claim ,77,13,1,13,5.923076923076923,1
keep safe need miss alreadi envi everyon see real life,54,10,1,10,5.4,0
new car hous parent new job hand,32,7,1,6,4.571428571428571,0
love excit day spend make happi,31,6,1,6,5.166666666666667,0
pl stop bootydeli f invit friend repli ye no see stop send stop frnd ,69,14,1,12,4.928571428571429,1
bangbab ur order way u receiv servic msg download ur content u goto wap bangb tv ur mobil internetservic menu,109,20,1,17,5.45,1
place ur point e cultur modul alreadi,37,7,1,7,5.285714285714286,0
urgent tri contact last weekend draw show prize guarante call claim code s valid hr,83,15,1,15,5.533333333333333,1
hi frnd best way avoid missunderstd wit belov one,49,9,1,9,5.444444444444445,0
great escap fanci bridg need lager see tomo,43,8,1,8,5.375,0
ye complet form clark also utter wast,37,7,1,7,5.285714285714286,0
sir need axi bank account bank address,38,7,1,6,5.428571428571429,0
hmmm thk sure got time hop ard ya go free abt muz call u discuss liao ,70,16,1,16,4.375,0
time come later,15,3,1,3,5.0,0
bloodi hell cant believ forgot surnam mr ill give u clue spanish begin ,71,13,1,13,5.461538461538462,0
well gon na finish bath good fine night,39,8,1,8,4.875,0
let know got money carlo make call,34,7,1,7,4.857142857142857,0
u still go mall,15,4,1,4,3.75,0
turn friend stay whole show back til lt gt feel free go ahead smoke lt gt worth,79,17,1,15,4.647058823529412,0
text doesnt repli let know log,30,6,1,6,5.0,0
hi spoke maneesha v would like know satisfi experi repli toll free ye,69,13,1,13,5.3076923076923075,0
lift hope offer money need especi end month approach hurt studi anyway gr weekend,81,14,1,14,5.785714285714286,0
lol u trust,11,3,1,3,3.6666666666666665,0
ok gentleman treat digniti respect,34,5,1,5,6.8,0
guy close,9,2,1,2,4.5,0
go noth greatby,15,3,1,3,5.0,0
hello handsom find job lazi work toward get back net mummi boytoy miss,70,13,1,13,5.384615384615385,0
haha awesom minut,17,3,1,3,5.666666666666667,0
pleas call custom servic repres freephon ampm guarante cash prize,65,10,1,10,6.5,1
got xma radio time get,22,5,1,5,4.4,0
ju reach home go bath first si use net tell u finish k ,55,13,1,13,4.230769230769231,0
uniqu enough find th august,27,5,1,5,5.4,1
sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great week,100,18,1,16,5.555555555555555,0
hi final complet cours,22,4,1,4,5.5,0
stop howev suggest stay someon abl give or everi stool,54,10,1,10,5.4,0
hope settl new school year wishin gr day,40,8,1,8,5.0,0
gud mrng dear hav nice day,26,6,1,6,4.333333333333333,0
u got person stori,18,4,1,4,4.5,0
hamster dead hey tmr meet pm orchard mrt,40,8,1,8,5.0,0
hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx,67,13,1,13,5.153846153846154,0
found enc lt gt,15,4,1,4,3.75,0
sent lt gt buck,15,4,1,4,3.75,0
hello darlin ive finish colleg txt u finish u love kate xxx,59,12,1,10,4.916666666666667,0
account refil success inr lt decim gt keralacircl prepaid account balanc rs lt decim gt transact id kr lt gt,108,20,1,14,5.4,0
goodmorn sleep ga,17,3,1,3,5.666666666666667,0
u call alter ok,15,4,1,4,3.75,0
 say like dat dun buy ericsson oso oredi lar ,45,9,1,9,5.0,0
aight yo dat straight dogg,26,5,1,5,5.2,0
pleas give us connect today lt decim gt refund bill,51,10,1,10,5.1,0
shoot big load get readi,24,5,1,5,4.8,0
bruv hope great break reward semest,35,6,1,6,5.833333333333333,0
home alway chat,15,3,1,3,5.0,0
k k good studi well,19,5,1,4,3.8,0
yup noe leh ,12,3,1,3,4.0,0
sound great home,16,3,1,3,5.333333333333333,0
final match head toward draw predict,36,6,1,6,6.0,0
tire slept well past night,26,5,1,5,5.2,0
easi ah sen got select mean good ,33,7,1,7,4.714285714285714,0
take exam march ,16,3,1,3,5.333333333333333,0
yeah think use gt atm regist sure anyway help let know sure readi,65,13,1,12,5.0,0
ok prob take ur time,20,5,1,5,4.0,0
os call ubandu run without instal hard disk use os copi import file system give repair shop ,92,17,1,16,5.411764705882353,0
u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh,83,19,1,17,4.368421052631579,0
 new mobil must go txt nokia collect today optout gbpmtmsg,58,10,1,10,5.8,1
would realli appreci call need someon talk,42,7,1,7,6.0,0
u meet ur dream partner soon ur career flyng start find free txt horo follow ur star sign e g horo ari,102,22,1,19,4.636363636363637,1
hey compani elama po mudyadhu,29,5,1,5,5.8,0
life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn,114,19,1,12,6.0,0
dear good morn,14,3,1,3,4.666666666666667,0
get gandhipuram walk cross cut road right side lt gt street road turn first right,81,15,1,13,5.4,0
dear go rubber place,20,4,1,4,5.0,0
sorri batteri die yeah,22,4,1,4,5.5,0
ye tv alway avail work place ,29,6,1,6,4.833333333333333,0
text meet someon sexi today u find date even flirt u join p repli name age eg sam msg recd thirtyeight penc,107,22,1,21,4.863636363636363,1
print oh lt gt come upstair,27,6,1,6,4.5,0
ill littl closer like bu stop street,36,7,1,7,5.142857142857143,0
wil reach,9,2,1,2,4.5,0
new theori argument win situat lose person dont argu ur friend kick amp say alway correct,89,16,1,16,5.5625,0
u secret admir look make contact ufind r reveal think ur specialcal ,68,12,1,12,5.666666666666667,1
tomarrow final hear laptop case cant,36,6,1,6,6.0,0
pleassssssseeeee tel v avent done sportsx,41,6,1,6,6.833333333333333,0
okay shine meant sign sound better,34,6,1,6,5.666666666666667,0
although told u dat baig face watch realli like e watch u gave co fr u thanx everyth dat u done today touch ,108,23,1,18,4.695652173913044,0
u rememb old commerci,21,4,1,4,5.25,0
late said websit dont slipper,29,5,1,5,5.8,0
ask call ok,11,3,1,3,3.6666666666666665,0
kalli wont bat nd inning,24,5,1,5,4.8,0
didnt work oh ok goodnight ill fix readi time wake dearli miss good night sleep,79,15,1,15,5.266666666666667,0
congratul ur award cd voucher gift guarante free entri wkli draw txt music tnc,78,14,1,14,5.571428571428571,1
ranjith cal drpd deeraj deepak min hold,39,7,1,7,5.571428571428571,0
wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show deep affect care n luv kettoda manda nice day da,131,27,1,25,4.851851851851852,0
,0,0,0,0,,0
up day also ship compani take wk way usp take week get lag may bribe nipost get stuff,85,18,1,16,4.722222222222222,0
back lem know readi,19,4,1,4,4.75,0
necessarili expect done get back though headin,46,7,1,7,6.571428571428571,0
mmm yummi babe nice jolt suzi,29,6,1,6,4.833333333333333,0
lover need ,11,2,1,2,5.5,0
tri contact repli offer video handset anytim network min unlimit text camcord repli call ,89,14,1,13,6.357142857142857,1
im park next mini come today think,34,7,1,7,4.857142857142857,0
yup,3,1,1,1,3.0,0
anyway go shop co si done yet dun disturb u liao,48,11,1,11,4.363636363636363,0
luton ring ur around h,22,5,1,5,4.4,0
hey realli horni want chat see nake text hot text charg pm unsubscrib text stop ,80,15,1,13,5.333333333333333,1
dint come us,12,3,1,3,4.0,0
wana plan trip sometm,21,4,1,4,5.25,0
sure yet still tri get hold,27,6,1,6,4.5,0
ur rington servic chang free credit go clubmobilescom choos content stop txt club stop pwk club po box mk wt,108,20,1,18,5.4,1
evo download flash jealou,25,4,1,4,6.25,0
rington club get uk singl chart mobil week choos top qualiti rington messag free charg,86,15,1,14,5.733333333333333,1
come mu sort narcot situat,26,5,1,5,5.2,0
night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay,91,18,1,17,5.055555555555555,0
hmv bonu special pound genuin hmv voucher answer easi question play send hmv info,81,14,1,12,5.785714285714286,1
usf guess might well take car,29,6,1,6,4.833333333333333,0
object bf come,14,3,1,3,4.666666666666667,0
thanx ,6,1,1,1,6.0,0
tell rob mack gf theater,24,5,1,5,4.8,0
awesom see bit,14,3,1,3,4.666666666666667,0
sent type food like,19,4,1,4,4.75,0
done hand celebr full swing yet,31,6,1,6,5.166666666666667,0
got call tool,13,3,1,3,4.333333333333333,0
wen u miss someon,17,4,1,4,4.25,0
ok ask money far,16,4,1,4,4.0,0
oki ,4,1,1,1,4.0,0
yeah think usual guy still pass last night get ahold anybodi let know throw,75,14,1,14,5.357142857142857,0
k might come tonight class let earli,36,7,1,7,5.142857142857143,0
ok ,3,1,1,1,3.0,0
hi babi im cruisin girl friend r u give call hour home that alright fone fone love jenni xxx,92,19,1,18,4.842105263157895,0
life mean lot love life love peopl life world call friend call world ge ,72,14,1,9,5.142857142857143,0
dear shall mail tonitebusi street shall updat toniteth look okvarunnathu edukkukaye raksha ollubut good one real sens,117,17,1,16,6.882352941176471,0
hey told name gautham ah,24,5,1,5,4.8,0
haf u found feel stupid da v cam work,37,9,1,9,4.111111111111111,0
oop got bit,11,3,1,3,3.6666666666666665,0
much buzi,9,2,1,2,4.5,0
accident delet messag resend pleas,34,5,1,5,6.8,0
tmobil custom may claim free camera phone upgrad pay go sim card loyalti call offer end thfebt c appli,102,19,1,19,5.368421052631579,1
unless situat go gurl would appropri,36,6,1,6,6.0,0
hurt teas make cri end life die plz keep one rose grave say stupid miss u nice day bslvyl,89,19,1,19,4.684210526315789,0
cant pick phone right pl send messag,36,7,1,7,5.142857142857143,0
need coffe run tomo believ time week alreadi,44,8,1,8,5.5,0
awesom rememb last time got somebodi high first time diesel v,61,11,1,10,5.545454545454546,0
shit realli shock scari cant imagin second def night u think somewher could crash night save taxi,97,17,1,16,5.705882352941177,0
oh way food fridg want go meal tonight,38,8,1,8,4.75,0
womdarful actor,15,2,1,2,7.5,0
sm ac blind date u rodd m aberdeen unit kingdom check sm acwicmbcktzr blind date send hide,90,17,1,14,5.294117647058823,1
yup remb think book ,20,4,1,4,5.0,0
jo ask u wana meet,18,5,1,5,3.6,0
lol ye friendship hang thread caus u buy stuff,46,9,1,9,5.111111111111111,0
themob check newest select content game tone gossip babe sport keep mobil fit funki text wap ,93,16,1,16,5.8125,1
garag key bookshelf,19,3,1,3,6.333333333333333,0
today accept day u accept brother sister lover dear best clo lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi,137,21,1,20,6.523809523809524,0
think ur smart win week weekli quiz text play cs winnersclub po box m uz gbpweek,80,16,1,16,5.0,1
say give call friend got money definit buy end week,51,10,1,10,5.1,0
hi way u day normal way real ur uniqu hope know u rest mylif hope u find wot lost,81,19,1,15,4.2631578947368425,0
made day great day,18,4,1,3,4.5,0
kk advanc happi pongal,22,4,1,4,5.5,0
hmmm guess go kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao ,90,19,1,17,4.7368421052631575,0
realli dude friend afraid,25,4,1,4,6.25,0
decemb mobil mth entitl updat latest colour camera mobil free call mobil updat co free ,87,15,1,11,5.8,1
coffe cake guess ,17,3,1,3,5.666666666666667,0
merri christma babe love ya kiss,32,6,1,6,5.333333333333333,0
hey dont go watch x men lunch haha,34,8,1,8,4.25,0
cud u tell ppl im gona b bit l co buse hav gon past co full im still waitin pete x,82,21,1,19,3.9047619047619047,0
would great guild could meet bristol road somewher get touch weekend plan take flight good week,95,16,1,16,5.9375,0
problem,7,1,1,1,7.0,0
hi da today class,17,4,1,4,4.25,0
would say good sign well know track record read women,53,10,1,10,5.3,0
cool text park,14,3,1,3,4.666666666666667,0
read text sent meant joke read light,36,7,1,6,5.142857142857143,0
kk apo kgood movi,17,4,1,4,4.25,0
mayb could get book tomo return immedi someth,45,8,1,8,5.625,0
call germani penc per minut call fix line via access number prepay direct access,80,14,1,12,5.714285714285714,1
chanc might evapor soon violat privaci steal phone number employ paperwork cool pleas contact report supervisor,111,16,1,16,6.9375,0
valentin day special win quiz take partner trip lifetim send go pmsg rcvd custcar,81,14,1,14,5.785714285714286,1
tadaaaaa home babe still,24,4,1,4,6.0,0
cool come havent wine dine,26,5,1,5,5.2,0
sleep surf,10,2,1,2,5.0,0
u call right call hand phone ,29,6,1,5,4.833333333333333,0
ok great thanx lot,18,4,1,4,4.5,0
take post come must s text happi read one wiv hello carolin end favourit bless,78,15,1,15,5.2,0
u hide stranger,15,3,1,3,5.0,0
interest like,13,2,1,2,6.5,0
sister clear two round birla soft yesterday,43,7,1,7,6.142857142857143,0
gudnit tc practic go,20,4,1,4,5.0,0
di yiju ju saw ur mail case huim havent sent u num di num,57,14,1,12,4.071428571428571,0
one small prestig problem,25,4,1,4,6.25,0
fanci shag dointerest sextextukcom txt xxuk suzi txt cost per msg tnc websit x,78,14,1,13,5.571428571428571,1
check realli miss see jeremiah great month,42,7,1,7,6.0,0
nah help never iphon,20,4,1,4,5.0,0
car hour half go apeshit,24,5,1,5,4.8,0
today sorri day ever angri ever misbehav hurt plz plz slap urself bcoz ur fault basic good,90,17,1,15,5.294117647058823,0
yo guy ever figur much need alcohol jay tri figur much safe spend weed,70,14,1,12,5.0,0
lt gt ish minut minut ago wtf,29,7,1,6,4.142857142857143,0
thank callingforgot say happi onam sirjii fine rememb met insur personmeet qatar insha allahrakhesh ex tata aig join tissco tayseer,131,20,1,20,6.55,0
ur cashbal current pound maxim ur cashin send cash pmsg cc hgsuiteland rowwjhl,78,13,1,12,6.0,1
actor work work even sleep late sinc unemploy moment alway sleep late unemploy everi day saturday,97,16,1,12,6.0625,0
hello got st andrewsboy long way cold keep post,47,9,1,9,5.222222222222222,0
ha ha cool cool chikku chikku db,32,7,1,4,4.571428571428571,0
oh ok prob ,11,3,1,3,3.6666666666666665,0
check audrey statu right,24,4,1,4,6.0,0
busi tri finish new year look forward final meet ,49,9,1,9,5.444444444444445,0
good afternoon sunshin dawn day refresh happi aliv breath air smile think love alway,84,14,1,14,6.0,0
well know z take care worri,27,6,1,6,4.5,0
updatenow xma offer latest motorola sonyericsson nokia free bluetooth doubl min txt orang call mobileupd calloptoutfq,117,16,1,16,7.3125,1
discount code rp stop messag repli stop custom servic ,54,9,1,8,6.0,1
wat uniform get,15,3,1,3,5.0,0
cool text readi,15,3,1,3,5.0,0
hello boytoy geeee miss alreadi woke wish bed cuddl love ,57,10,1,10,5.7,0
spoil bed well,14,3,1,3,4.666666666666667,0
go bath msg next lt gt min ,27,7,1,7,3.857142857142857,0
cant keep talk peopl sure pay agre price pl tell want realli buy much will pay,78,16,1,15,4.875,0
thank rington order refer t charg gbp per week unsubscrib anytim call custom servic ,84,14,1,14,6.0,1
say happen,10,2,1,2,5.0,0
could seen recognis face,24,4,1,4,6.0,0
well lot thing happen lindsay new year sigh bar ptbo blue heron someth go,73,14,1,14,5.214285714285714,0
keep payasam rinu bring,23,4,1,4,5.75,0
taught ranjith sir call sm like becau he verifi project prabu told today pa dont mistak ,88,16,1,16,5.5,0
guess worri must know way bodi repair quit sure worri take slow first test guid ovul relax noth said reason worri ill keep followin,131,24,1,22,5.458333333333333,0
yeah sure give coupl minut track wallet,39,7,1,7,5.571428571428571,0
hey leav big deal take care,27,6,1,6,4.5,0
hey late ah meet ,17,4,1,4,4.25,0
doubl min txt month free bluetooth orang avail soni nokia motorola phone call mobileupd calloptoutndx,101,15,1,15,6.733333333333333,1
took mr owl lick,16,4,1,4,4.0,0
custom place call,17,3,1,3,5.666666666666667,0
mm time dont like fun,21,5,1,5,4.2,0
mth half price orang line rental latest camera phone free phone mth call mobilesdirect free updat orstoptxt,107,17,1,14,6.294117647058823,1
yup lunch buffet u eat alreadi,30,6,1,6,5.0,0
huh late fr dinner,18,4,1,4,4.5,0
hey sat go intro pilat kickbox,30,6,1,6,5.0,0
morn ok,7,2,1,2,3.5,0
ye think offic lap room think that last day didnt shut,54,11,1,10,4.909090909090909,0
pick bout ish time go,21,5,1,5,4.2,0
perform award calcul everi two monthnot current one month period ,65,10,1,10,6.5,0
actual sleep still might u call back text gr rock si send u text wen wake,73,16,1,14,4.5625,0
alway put busi put pictur ass facebook one open peopl ever met would think pictur room would hurt make feel violat,114,21,1,18,5.428571428571429,0
good even sir al salam wahleykkumshar happi newsbi grace god got offer tayseer tissco joinedhop fineinshah allah meet sometimerakhesh visitor india,147,21,1,21,7.0,0
hmmm k want chang field quickli da wan na get system administr network administr ,81,14,1,13,5.785714285714286,0
free rington text first poli text get true tone help st free tone xpw end txt stop,82,17,1,14,4.823529411764706,1
dear chechi talk,16,3,1,3,5.333333333333333,0
hair cream ship,15,3,1,3,5.0,0
none happen til get though,26,5,1,5,5.2,0
yep great loxahatche xma tree burn lt gt start hour,51,10,1,10,5.1,0
haha get use drive usf man know lot stoner,42,9,1,9,4.666666666666667,0
well slightli disastr class pm fav darl hope day ok coffe wld good stay late tomorrow time place alway,102,19,1,19,5.368421052631579,0
hello good week fanci drink someth later,40,7,1,7,5.714285714285714,0
headin toward busetop,21,3,1,3,7.0,0
messag text miss sender name miss number miss sent date miss miss u lot that everyth miss sent via fullonsmscom,111,20,1,14,5.55,0
come room point iron plan weekend,33,6,1,6,5.5,0
co want thing,13,3,1,3,4.333333333333333,0
